account_id,username,bio,profile_picture,account_age,tweets_count,followers_count,following_count,duplicate_tweets,content_similarity,follower_following_ratio,tweet_frequency,is_fake,is_clone,report,blocked,avg_distance,name
N00001,susanrivera,Photographer,1,3216,4965,51519,36975,1,0.39,1.39,1.54,0,0,39,1,0.0720206968597824,Aarav Sharma
N00002,charles_green1986,,0,435,7518,62470,33560,0,0.22,1.86,17.28,0,0,0,0,0.5363003016333934,Priya Verma
N00003,emilythompson,,0,4501,4201,10705,80963,1,0.79,0.13,0.93,0,0,0,0,0.079747761769074,Rohan Mehta
N00004,barbara.mitchell1987,Photographer,1,1489,7503,82540,36985,0,0.12,2.23,5.04,0,0,0,0,0.2862415890888946,Sneha Reddy
N00005,jennifergarcia,Lover of nature,1,3601,61,31810,4689,1,0.74,6.78,0.02,0,0,17,1,0.2682739946670339,Arjun Kapoor
N00006,mark.lopez,Tech enthusiast,0,991,5693,20722,83872,1,0.46,0.25,5.74,0,0,0,0,0.1391249700666511,Ananya Singh
N00007,kimberly.hall1983,Tech enthusiast,1,3841,3609,1314,81383,1,0.77,0.02,0.94,0,0,0,0,0.0919322508871368,Vikram Patel
N00008,sandrawhite2005,Tech enthusiast,0,1439,1206,18276,90698,0,0.45,0.2,0.84,0,0,0,0,0.0528912990947131,Kavya Nair
N00009,linda_young1998,Photographer,0,519,1446,41043,81656,0,0.35,0.5,2.79,0,0,0,0,0.0898167499593847,Rahul Das
N00010,jennifer.perez,,1,3746,595,32361,70546,0,0.28,0.46,0.16,0,0,0,0,0.0454100855451041,Ishita Gupta
N00011,dorothyclark,Photographer,0,1762,5715,99296,42035,1,0.07,2.36,3.24,0,0,0,0,0.1252078066413522,Aditya Rao
N00012,david_ramirez,Photographer,1,1625,8986,33179,60069,1,0.27,0.55,5.53,0,0,0,0,0.1348354279752832,Neha Joshi
N00013,robertwright14,Sports fan,1,3629,3474,20830,42437,1,0.48,0.49,0.96,0,0,0,0,0.0541992839834242,Karthik Iyer
N00014,emilygonzalez45,,0,1780,4006,31685,17325,1,0.18,1.83,2.25,0,0,0,0,0.0833754187123534,Simran Kaur
N00015,kevinallen,Sports fan,1,4625,137,70372,48523,0,0.77,1.45,0.03,0,0,0,0,0.1268438032036662,Yash Malhotra
